sub,computer_defect,computer_recip,stranger_defect,stranger_recip,friend_defect,friend_recip
sub-104,0.497322,0.351450,0.253456,0.212479,0.180376,0.168766
sub-105,0.272058,0.320602,0.406436,0.353148,0.457752,0.413591
sub-106,0.267994,0.269369,0.209977,0.219664,0.217817,0.237394
sub-107,0.244211,0.249193,0.273361,0.314821,0.194680,0.261835
sub-108,0.216319,0.234570,0.292197,0.243914,0.210451,0.217276
sub-109,0.267767,0.390068,0.505142,0.251663,0.504567,0.310979
sub-110,0.175499,0.051579,0.188065,0.264158,0.271412,0.208534
sub-111,0.421968,0.229109,0.374776,0.215747,0.253157,0.413597
sub-112,0.246830,0.254632,0.177222,0.172240,0.261524,0.211937
sub-113,0.271000,0.201364,0.310376,0.219885,0.276085,0.293039
sub-115,0.515060,0.374689,0.445291,0.397432,0.397227,0.295274
sub-116,0.320906,0.196773,0.180632,0.231449,0.277630,0.177908
sub-117,0.349458,0.421497,0.341330,0.261284,0.442319,0.263531
sub-118,0.494199,0.433560,0.436404,0.607648,0.549268,0.468894
sub-120,0.277868,0.319684,0.247842,0.196763,0.377059,0.244327
sub-121,0.143272,0.235283,0.204142,0.220792,0.160376,0.123691
sub-122,0.280573,0.178553,0.242174,0.274500,0.155878,0.138672
sub-124,0.303253,0.293710,0.398446,0.284867,0.390555,0.373862
sub-125,0.359458,0.292285,0.285783,0.337494,0.335881,0.343415
sub-126,0.336863,0.516680,0.430915,0.495090,0.548696,0.547104
sub-127,0.212475,0.268549,0.241725,0.280049,0.228139,0.302468
sub-128,0.421417,0.276290,0.300901,0.266141,0.298379,0.350902
sub-129,0.283787,0.238133,0.307613,0.467578,0.338829,0.367828
sub-130,0.288314,0.261430,0.249340,0.292593,0.309325,0.352560
sub-131,0.313961,0.449693,0.418799,0.327406,0.449910,0.345567
sub-132,0.307824,0.322555,0.344971,0.295685,0.381782,0.343820
sub-133,0.523021,0.455526,0.513035,0.463769,0.660022,0.580280
sub-134,0.330440,0.234140,0.281538,0.384018,0.522169,0.498405
sub-135,0.120461,0.198649,0.704119,0.168856,0.310954,0.351990
sub-136,0.138968,0.121121,0.160564,0.440606,0.257266,0.233412
sub-137,0.291648,0.242925,0.233271,0.254825,0.353078,0.312861
sub-138,0.371821,0.192608,0.294571,0.207664,0.306747,0.435975
sub-140,0.499486,0.458474,0.503872,0.439935,0.491745,0.488997
sub-141,0.184085,0.132421,0.131099,0.341241,0.161107,0.127547
sub-142,0.362312,0.344936,0.329359,0.366874,0.215105,0.187252
sub-143,0.255502,0.176327,0.202949,0.196340,0.215662,0.221938
sub-144,0.290303,0.215710,0.218878,0.209784,0.330288,0.168040
sub-145,0.139599,0.298708,0.162374,0.131358,0.184337,0.287337
sub-147,0.311364,0.353856,0.255009,0.319520,0.244270,0.245573
sub-149,0.258550,0.216021,0.310727,0.244129,0.296635,0.265547
sub-150,0.449981,0.378997,0.397075,0.368410,0.274464,0.367658
sub-151,0.120723,0.142108,0.109568,0.193706,0.138073,0.130107
sub-152,0.275940,0.536908,0.341548,0.391645,0.360085,0.261981
sub-153,0.324308,0.336044,0.359915,0.477451,0.365399,0.326261
sub-154,0.249509,0.130393,0.201814,0.126051,0.255257,0.253712
sub-155,0.349495,0.432838,0.437828,0.231419,0.408591,0.251610
sub-156,0.079798,0.123658,0.247389,0.203120,0.110315,0.105155
sub-157,0.410634,0.328597,0.371039,0.406615,0.299834,0.416861
sub-158,0.326360,0.219412,0.330752,0.280632,0.323807,0.212869
sub-159,0.341617,0.302777,0.427550,0.326741,0.399803,0.359142
